"DateTime","Tasa Representativa del Mercado (TRM)"
"1991-11-27 05:00:00",693.32
"1991-11-28 05:00:00",693.99
"1991-11-29 05:00:00",694.7
"1991-11-30 05:00:00",694.7
"1991-12-01 05:00:00",643.42
"1991-12-02 05:00:00",643.42
"1991-12-03 05:00:00",639.22
"1991-12-04 05:00:00",635.7
"1991-12-05 05:00:00",631.51
"1991-12-06 05:00:00",627.16
"1991-12-07 05:00:00",638.06
"1991-12-08 05:00:00",638.06
"1991-12-09 05:00:00",638.06
"1991-12-10 05:00:00",622.92
"1991-12-11 05:00:00",627.46
"1991-12-12 05:00:00",633.09
"1991-12-13 05:00:00",632.35
"1991-12-14 05:00:00",630.91
"1991-12-15 05:00:00",630.91
"1991-12-16 05:00:00",630.91
"1991-12-17 05:00:00",626.23
"1991-12-18 05:00:00",626.52
"1991-12-19 05:00:00",633.35
"1991-12-20 05:00:00",621.71
"1991-12-21 05:00:00",620.62
"1991-12-22 05:00:00",620.62
"1991-12-23 05:00:00",620.62
"1991-12-24 05:00:00",622.95
"1991-12-25 05:00:00",622.95
"1991-12-26 05:00:00",622.95
"1991-12-27 05:00:00",631.63
"1991-12-28 05:00:00",632.37
"1991-12-29 05:00:00",632.37
"1991-12-30 05:00:00",632.37
"1991-12-31 05:00:00",632.37
"1992-01-01 05:00:00",632.37
"1992-01-02 05:00:00",638.61
"1992-01-03 05:00:00",632.58
"1992-01-04 05:00:00",638.07
"1992-01-05 05:00:00",638.07
"1992-01-06 05:00:00",638.07
"1992-01-07 05:00:00",638.07
"1992-01-08 05:00:00",638.17
"1992-01-09 05:00:00",638.61
"1992-01-10 05:00:00",637.86
"1992-01-11 05:00:00",645.04
"1992-01-12 05:00:00",645.04
"1992-01-13 05:00:00",645.04
"1992-01-14 05:00:00",659.74
"1992-01-15 05:00:00",657.49
"1992-01-16 05:00:00",653.45
"1992-01-17 05:00:00",652.91
"1992-01-18 05:00:00",645.35
"1992-01-19 05:00:00",645.35
"1992-01-20 05:00:00",645.35
"1992-01-21 05:00:00",645.97
"1992-01-22 05:00:00",647.04
"1992-01-23 05:00:00",647.01
"1992-01-24 05:00:00",647.01
"1992-01-25 05:00:00",644.83
"1992-01-26 05:00:00",644.83
"1992-01-27 05:00:00",644.83
"1992-01-28 05:00:00",645.53
"1992-01-29 05:00:00",645.2
"1992-01-30 05:00:00",644.04
"1992-01-31 05:00:00",644.27
"1992-02-01 05:00:00",640.52
"1992-02-02 05:00:00",640.52
"1992-02-03 05:00:00",640.52
"1992-02-04 05:00:00",640.52
"1992-02-05 05:00:00",638.01
"1992-02-06 05:00:00",637.65
"1992-02-07 05:00:00",636.9
"1992-02-08 05:00:00",635.34
"1992-02-09 05:00:00",635.34
"1992-02-10 05:00:00",635.34
"1992-02-11 05:00:00",634.74
"1992-02-12 05:00:00",634.59
"1992-02-13 05:00:00",634.67
"1992-02-14 05:00:00",635.6
"1992-02-15 05:00:00",634.74
"1992-02-16 05:00:00",634.74
"1992-02-17 05:00:00",634.74
"1992-02-18 05:00:00",635.66
"1992-02-19 05:00:00",635.21
"1992-02-20 05:00:00",634.93
"1992-02-21 05:00:00",633.31
"1992-02-22 05:00:00",633.03
"1992-02-23 05:00:00",633.03
"1992-02-24 05:00:00",633.03
"1992-02-25 05:00:00",633.55
"1992-02-26 05:00:00",633.74
"1992-02-27 05:00:00",634.06
"1992-02-28 05:00:00",633.91
"1992-02-29 05:00:00",636.54
"1992-03-01 05:00:00",636.54
"1992-03-02 05:00:00",636.54
"1992-03-03 05:00:00",640.95
"1992-03-04 05:00:00",636.05
"1992-03-05 05:00:00",635.86
"1992-03-06 05:00:00",636.73
"1992-03-07 05:00:00",636.22
"1992-03-08 05:00:00",636.22
"1992-03-09 05:00:00",636.22
"1992-03-10 05:00:00",635.88
"1992-03-11 05:00:00",639.78
"1992-03-12 05:00:00",639.38
"1992-03-13 05:00:00",641.29
"1992-03-14 05:00:00",642
"1992-03-15 05:00:00",642
"1992-03-16 05:00:00",642
"1992-03-17 05:00:00",644.13
"1992-03-18 05:00:00",643.83
"1992-03-19 05:00:00",642.59
"1992-03-20 05:00:00",641.53
"1992-03-21 05:00:00",640.37
"1992-03-22 05:00:00",640.37
"1992-03-23 05:00:00",640.37
"1992-03-24 05:00:00",640.37
"1992-03-25 05:00:00",642
"1992-03-26 05:00:00",641.81
"1992-03-27 05:00:00",641.22
"1992-03-28 05:00:00",647.24
"1992-03-29 05:00:00",647.24
"1992-03-30 05:00:00",647.24
"1992-03-31 05:00:00",641.59
"1992-04-01 05:00:00",641.98
"1992-04-02 05:00:00",645.14
"1992-04-03 05:00:00",644.77
"1992-04-04 05:00:00",643.11
"1992-04-05 05:00:00",643.11
"1992-04-06 05:00:00",643.11
"1992-04-07 05:00:00",645.73
"1992-04-08 05:00:00",643.98
"1992-04-09 05:00:00",644.61
"1992-04-10 05:00:00",646.5
"1992-04-11 05:00:00",647.28
"1992-04-12 05:00:00",647.28
"1992-04-13 05:00:00",647.28
"1992-04-14 05:00:00",649.48
"1992-04-15 05:00:00",655.66
"1992-04-16 05:00:00",657.97
"1992-04-17 05:00:00",657.97
"1992-04-18 05:00:00",657.97
"1992-04-19 05:00:00",657.97
"1992-04-20 05:00:00",657.97
"1992-04-21 05:00:00",655.32
"1992-04-22 05:00:00",652.57
"1992-04-23 05:00:00",651.48
"1992-04-24 05:00:00",650.24
"1992-04-25 05:00:00",651.36
"1992-04-26 05:00:00",651.36
"1992-04-27 05:00:00",651.36
"1992-04-28 05:00:00",650.31
"1992-04-29 05:00:00",651.95
"1992-04-30 05:00:00",653.83
"1992-05-01 05:00:00",653.58
"1992-05-02 05:00:00",653.58
"1992-05-03 05:00:00",653.58
"1992-05-04 04:00:00",653.58
"1992-05-05 04:00:00",653.1
"1992-05-06 04:00:00",653.7
"1992-05-07 04:00:00",654.74
"1992-05-08 04:00:00",656.4
"1992-05-09 04:00:00",657.91
"1992-05-10 04:00:00",657.91
"1992-05-11 04:00:00",657.91
"1992-05-12 04:00:00",658.52
"1992-05-13 04:00:00",660.57
"1992-05-14 04:00:00",660.88
"1992-05-15 04:00:00",663.43
"1992-05-16 04:00:00",663.58
"1992-05-17 04:00:00",663.58
"1992-05-18 04:00:00",663.58
"1992-05-19 04:00:00",663.75
"1992-05-20 04:00:00",664.5
"1992-05-21 04:00:00",663.1
"1992-05-22 04:00:00",662.6
"1992-05-23 04:00:00",662.11
"1992-05-24 04:00:00",662.11
"1992-05-25 04:00:00",662.11
"1992-05-26 04:00:00",662.15
"1992-05-27 04:00:00",660.46
"1992-05-28 04:00:00",660.16
"1992-05-29 04:00:00",660.99
"1992-05-30 04:00:00",664.37
"1992-05-31 04:00:00",664.37
"1992-06-01 04:00:00",664.37
"1992-06-02 04:00:00",664.37
"1992-06-03 04:00:00",666.11
"1992-06-04 04:00:00",664.3
"1992-06-05 04:00:00",666.47
"1992-06-06 04:00:00",664.36
"1992-06-07 04:00:00",664.36
"1992-06-08 04:00:00",664.36
"1992-06-09 04:00:00",665.91
"1992-06-10 04:00:00",665.92
"1992-06-11 04:00:00",667.96
"1992-06-12 04:00:00",667.52
"1992-06-13 04:00:00",669.55
"1992-06-14 04:00:00",669.55
"1992-06-15 04:00:00",669.55
"1992-06-16 04:00:00",671.36
"1992-06-17 04:00:00",675.76
"1992-06-18 04:00:00",680.17
"1992-06-19 04:00:00",678.25
"1992-06-20 04:00:00",683.37
"1992-06-21 04:00:00",683.37
"1992-06-22 04:00:00",683.37
"1992-06-23 04:00:00",683.37
"1992-06-24 04:00:00",690.08
"1992-06-25 04:00:00",699.09
"1992-06-26 04:00:00",701.83
"1992-06-27 04:00:00",697.57
"1992-06-28 04:00:00",697.57
"1992-06-29 04:00:00",697.57
"1992-06-30 04:00:00",697.57
"1992-07-01 04:00:00",695.36
"1992-07-02 04:00:00",694.43
"1992-07-03 04:00:00",693.71
"1992-07-04 04:00:00",693.4
"1992-07-05 04:00:00",693.4
"1992-07-06 04:00:00",693.4
"1992-07-07 04:00:00",696.12
"1992-07-08 04:00:00",695.65
"1992-07-09 04:00:00",699.01
"1992-07-10 04:00:00",703.74
"1992-07-11 04:00:00",708.72
"1992-07-12 04:00:00",708.72
"1992-07-13 04:00:00",708.72
"1992-07-14 04:00:00",720.47
"1992-07-15 04:00:00",719.15
"1992-07-16 04:00:00",717.45
"1992-07-17 04:00:00",717.7
"1992-07-18 04:00:00",715.11
"1992-07-19 04:00:00",715.11
"1992-07-20 04:00:00",715.11
"1992-07-21 04:00:00",715.11
"1992-07-22 04:00:00",710.91
"1992-07-23 04:00:00",707.96
"1992-07-24 04:00:00",699.73
"1992-07-25 04:00:00",699.68
"1992-07-26 04:00:00",699.68
"1992-07-27 04:00:00",699.68
"1992-07-28 04:00:00",701.66
"1992-07-29 04:00:00",701.89
"1992-07-30 04:00:00",702.02
"1992-07-31 04:00:00",705.14
"1992-08-01 04:00:00",702.52
"1992-08-02 04:00:00",702.52
"1992-08-03 04:00:00",702.52
"1992-08-04 04:00:00",701.82
"1992-08-05 04:00:00",698.84
"1992-08-06 04:00:00",695.32
"1992-08-07 04:00:00",694.25
"1992-08-08 04:00:00",694.25
"1992-08-09 04:00:00",694.25
"1992-08-10 04:00:00",694.25
"1992-08-11 04:00:00",692.72
"1992-08-12 04:00:00",692.25
"1992-08-13 04:00:00",694.28
"1992-08-14 04:00:00",692.51
"1992-08-15 04:00:00",693.25
"1992-08-16 04:00:00",693.25
"1992-08-17 04:00:00",693.25
"1992-08-18 04:00:00",693.25
"1992-08-19 04:00:00",693.69
"1992-08-20 04:00:00",692.48
"1992-08-21 04:00:00",692.56
"1992-08-22 04:00:00",693.94
"1992-08-23 04:00:00",693.94
"1992-08-24 04:00:00",693.94
"1992-08-25 04:00:00",689.56
"1992-08-26 04:00:00",689.21
"1992-08-27 04:00:00",689.45
"1992-08-28 04:00:00",690.3
"1992-08-29 04:00:00",691.68
"1992-08-30 04:00:00",691.68
"1992-08-31 04:00:00",691.68
"1992-09-01 04:00:00",691.9
"1992-09-02 04:00:00",692.89
"1992-09-03 04:00:00",693.02
"1992-09-04 04:00:00",695.62
"1992-09-05 04:00:00",696.77
"1992-09-06 04:00:00",696.77
"1992-09-07 04:00:00",696.77
"1992-09-08 04:00:00",697.69
"1992-09-09 04:00:00",698.28
"1992-09-10 04:00:00",695.38
"1992-09-11 04:00:00",695.54
"1992-09-12 04:00:00",696.39
"1992-09-13 04:00:00",696.39
"1992-09-14 04:00:00",696.39
"1992-09-15 04:00:00",696.29
"1992-09-16 04:00:00",696.84
"1992-09-17 04:00:00",695.7
"1992-09-18 04:00:00",696.66
"1992-09-19 04:00:00",696.42
"1992-09-20 04:00:00",696.42
"1992-09-21 04:00:00",696.42
"1992-09-22 04:00:00",699.16
"1992-09-23 04:00:00",697.77
"1992-09-24 04:00:00",698.4
"1992-09-25 04:00:00",697.01
"1992-09-26 04:00:00",704.8
"1992-09-27 04:00:00",704.8
"1992-09-28 04:00:00",704.8
"1992-09-29 04:00:00",701
"1992-09-30 04:00:00",702.81
"1992-10-01 04:00:00",699.7
"1992-10-02 04:00:00",703.08
"1992-10-03 04:00:00",710.22
"1992-10-04 04:00:00",710.22
"1992-10-05 04:00:00",710.22
"1992-10-06 04:00:00",704.52
"1992-10-07 04:00:00",703.66
"1992-10-08 04:00:00",702.71
"1992-10-09 04:00:00",704.06
"1992-10-10 04:00:00",701.88
"1992-10-11 04:00:00",701.88
"1992-10-12 04:00:00",701.88
"1992-10-13 04:00:00",701.88
"1992-10-14 04:00:00",702.48
"1992-10-15 04:00:00",705.52
"1992-10-16 04:00:00",708.21
"1992-10-17 04:00:00",707.13
"1992-10-18 04:00:00",707.13
"1992-10-19 04:00:00",707.13
"1992-10-20 04:00:00",707.35
"1992-10-21 04:00:00",706.06
"1992-10-22 04:00:00",709.22
"1992-10-23 04:00:00",710.19
"1992-10-24 04:00:00",712.04
"1992-10-25 04:00:00",712.04
"1992-10-26 04:00:00",712.04
"1992-10-27 04:00:00",713.55
"1992-10-28 04:00:00",716.39
"1992-10-29 04:00:00",715.31
"1992-10-30 04:00:00",717.37
"1992-10-31 04:00:00",716.88
"1992-11-01 04:00:00",716.88
"1992-11-02 04:00:00",716.88
"1992-11-03 04:00:00",716.88
"1992-11-04 04:00:00",718.98
"1992-11-05 04:00:00",719.21
"1992-11-06 04:00:00",720.96
"1992-11-07 04:00:00",722.57
"1992-11-08 04:00:00",722.57
"1992-11-09 04:00:00",722.57
"1992-11-10 04:00:00",720.48
"1992-11-11 04:00:00",722.37
"1992-11-12 04:00:00",723.72
"1992-11-13 04:00:00",722.72
"1992-11-14 04:00:00",724.07
"1992-11-15 04:00:00",724.07
"1992-11-16 04:00:00",724.07
"1992-11-17 04:00:00",724.07
"1992-11-18 04:00:00",730.11
"1992-11-19 04:00:00",724.97
"1992-11-20 04:00:00",724.9
"1992-11-21 04:00:00",721.98
"1992-11-22 04:00:00",721.98
"1992-11-23 04:00:00",721.98
"1992-11-24 04:00:00",726.97
"1992-11-25 04:00:00",720.63
"1992-11-26 04:00:00",721.47
"1992-11-27 04:00:00",722.61
"1992-11-28 04:00:00",725.45
"1992-11-29 04:00:00",725.45
"1992-11-30 04:00:00",725.45
"1992-12-01 04:00:00",729.42
"1992-12-02 04:00:00",725.75
"1992-12-03 04:00:00",729.74
"1992-12-04 04:00:00",738.19
"1992-12-05 04:00:00",736.29
"1992-12-06 04:00:00",736.29
"1992-12-07 04:00:00",736.29
"1992-12-08 04:00:00",732.11
"1992-12-09 04:00:00",732.11
"1992-12-10 04:00:00",732.4
"1992-12-11 04:00:00",727.21
"1992-12-12 04:00:00",729.8
"1992-12-13 04:00:00",729.8
"1992-12-14 04:00:00",729.8
"1992-12-15 04:00:00",732.69
"1992-12-16 04:00:00",736.2
"1992-12-17 04:00:00",734.98
"1992-12-18 04:00:00",732.54
"1992-12-19 04:00:00",735.31
"1992-12-20 04:00:00",735.31
"1992-12-21 04:00:00",735.31
"1992-12-22 04:00:00",736.82
"1992-12-23 04:00:00",735
"1992-12-24 04:00:00",735.19
"1992-12-25 04:00:00",735.19
"1992-12-26 04:00:00",735.19
"1992-12-27 04:00:00",735.19
"1992-12-28 04:00:00",735.19
"1992-12-29 04:00:00",737.44
"1992-12-30 04:00:00",737.98
"1992-12-31 04:00:00",737.98
"1993-01-01 04:00:00",737.98
"1993-01-02 04:00:00",737.98
"1993-01-03 04:00:00",737.98
"1993-01-04 04:00:00",737.98
"1993-01-05 04:00:00",737.55
"1993-01-06 04:00:00",738.65
"1993-01-07 04:00:00",740.08
"1993-01-08 04:00:00",742.61
"1993-01-09 04:00:00",746.63
"1993-01-10 04:00:00",746.63
"1993-01-11 04:00:00",746.63
"1993-01-12 04:00:00",746.63
"1993-01-13 04:00:00",749.63
"1993-01-14 04:00:00",748.98
"1993-01-15 04:00:00",746.71
"1993-01-16 04:00:00",746.39
"1993-01-17 04:00:00",746.39
"1993-01-18 04:00:00",746.39
"1993-01-19 04:00:00",747.2
"1993-01-20 04:00:00",748.07
"1993-01-21 04:00:00",750.06
"1993-01-22 04:00:00",750
"1993-01-23 04:00:00",748.56
"1993-01-24 04:00:00",748.56
"1993-01-25 04:00:00",748.56
"1993-01-26 04:00:00",747.25
"1993-01-27 04:00:00",747.13
"1993-01-28 04:00:00",746.21
"1993-01-29 04:00:00",745.14
"1993-01-30 04:00:00",746.05
"1993-01-31 04:00:00",746.05
"1993-02-01 04:00:00",746.05
"1993-02-02 04:00:00",745.27
"1993-02-03 04:00:00",745.64
"1993-02-04 04:00:00",745.73
"1993-02-05 04:00:00",745.79
"1993-02-06 04:00:00",746.56
"1993-02-07 04:00:00",746.56
"1993-02-08 04:00:00",746.56
"1993-02-09 04:00:00",745.45
"1993-02-10 04:00:00",745.49
"1993-02-11 04:00:00",745.38
"1993-02-12 04:00:00",748.22
"1993-02-13 04:00:00",748.88
"1993-02-14 04:00:00",748.88
"1993-02-15 04:00:00",748.88
"1993-02-16 04:00:00",748.18
"1993-02-17 04:00:00",749.69
"1993-02-18 04:00:00",750.75
"1993-02-19 04:00:00",752.47
"1993-02-20 04:00:00",751.96
"1993-02-21 04:00:00",751.96
"1993-02-22 04:00:00",751.96
"1993-02-23 04:00:00",752.52
"1993-02-24 04:00:00",753.33
"1993-02-25 04:00:00",755.07
"1993-02-26 04:00:00",759.2
"1993-02-27 04:00:00",758.03
"1993-02-28 04:00:00",758.03
"1993-03-01 04:00:00",758.03
"1993-03-02 04:00:00",757.89
"1993-03-03 04:00:00",760.71
"1993-03-04 04:00:00",762.68
"1993-03-05 04:00:00",762.04
"1993-03-06 04:00:00",762.2
"1993-03-07 04:00:00",762.2
"1993-03-08 04:00:00",762.2
"1993-03-09 04:00:00",763.38
"1993-03-10 04:00:00",763.9
"1993-03-11 04:00:00",764.74
"1993-03-12 04:00:00",765.19
"1993-03-13 04:00:00",764.79
"1993-03-14 04:00:00",764.79
"1993-03-15 04:00:00",764.79
"1993-03-16 04:00:00",764.29
"1993-03-17 04:00:00",765.06
"1993-03-18 04:00:00",766.12
"1993-03-19 04:00:00",766.42
